scope,model,records,wall_seconds_mean,wall_seconds_p50,wall_seconds_p95,ttft_seconds_mean,output_tokens_per_second_mean,runtime_anomalies
cloud,gpt-oss:120b-cloud,2,5.133,5.133,5.3085,0.531,,0
cloud,minimax-m3:cloud,2,8.3275,8.3275,8.58085,1.1795,,0
local,deepscaler:1.5b,2,9.0235,9.0235,10.35235,1.6715,69.678137,0
local,deepseek-r1:8b,2,12.7895,12.7895,13.66835,2.0705,44.320596,0
local,gemma3n:e4b,2,8.961,8.961,11.3586,3.3985,58.540815,0
local,gemma4:e4b,2,8.984,8.984,12.4013,4.101,59.841825,0
local,granite4.1:8b,2,10.8125,10.8125,12.30335,1.7895,43.044066,0
local,granite4:7b-a1b-h,2,3.703,3.703,5.0953,1.695,133.329446,0
local,hf.co/ibm-granite/granite-vision-4.1-4b-GGUF:Q4_K_M,2,5.14,5.14,6.265,1.773,87.757064,0
local,hf.co/lmstudio-community/Qwen3-8B-GGUF:Q4_K_M,2,13.0,13.0,14.6452,2.039,46.703305,0
local,hf.co/tiiuae/Falcon-H1R-7B-GGUF:Q4_K_M,2,14.0705,14.0705,15.65225,2.0785,42.693971,0
local,hf.co/unsloth/SmolLM3-3B-GGUF:UD-Q4_K_XL,2,4.586,4.586,5.9432,1.6095,99.918998,0
local,huggingface.co/llmware/phi-4-mini-gguf:latest,2,5.039,5.039,6.4241,1.703,80.733901,0
local,huggingface.co/lmstudio-community/DeepSeek-R1-0528-Qwen3-8B-GGUF:latest,2,13.227,13.227,14.865,2.0705,45.897476,0
local,lfm2.5:8b,2,6.2735,6.2735,8.10905,2.539,137.066797,0
local,llama3.2:3b,2,4.531,4.531,5.6416,1.703,97.052676,0
local,minicpm-v4.6:latest,2,3.4375,3.4375,5.13895,2.086,208.428566,0
local,ministral-3:8b,2,11.945,11.945,13.7099,2.8045,38.889081,0
local,mistral:7b,2,10.383,10.383,12.0777,1.5465,52.131946,0
local,nemotron-3-nano:4b,2,5.1565,5.1565,6.90025,1.8285,74.661793,0
local,olmo-3:7b-instruct,2,8.492,8.492,9.8771,2.1405,44.196813,0
local,olmo-3:7b-think,2,14.1405,14.1405,15.84195,2.258,43.094604,0
local,openbmb/minicpm5:Q4_K_M,2,2.1245,2.1245,3.30575,1.414,250.481413,0
local,ornith:9b,2,11.664,11.664,14.7087,2.6015,40.055988,0
local,phi4-mini-reasoning:latest,2,9.8285,9.8285,11.36165,1.9845,65.26982,0
local,phi4-mini:latest,2,4.789,4.789,6.5674,1.773,80.818837,0
local,qwen3-vl:8b,2,16.3125,16.3125,18.70335,2.93,38.170342,0
local,qwen3.5:4b,2,7.1015,7.1015,8.48615,2.3985,67.765336,0
local,qwen3.5:9b,2,13.1795,13.1795,16.68815,2.961,41.210048,0
local,rnj-1:latest,2,2.9685,2.9685,4.36035,2.0545,43.754814,0
local,smollm2:1.7b,2,4.0155,4.0155,5.33715,1.3045,113.638194,0
